iter	Passed	Remaining
376	38583	22822
377	38710	22734
378	38788	22618
379	38898	22519
380	38998	22416
381	39092	22309
382	39200	22209
383	39300	22106
384	39388	21995
385	39481	21888
386	39603	21797
387	39699	21691
388	39814	21596
389	39908	21489
390	40000	21381
391	40084	21269
392	40175	21160
393	40288	21064
394	40393	20963
395	40495	20861
396	40610	20765
397	40722	20668
398	40815	20561
399	40911	20455
400	41003	20348
401	41104	20245
402	41199	20139
403	41302	20037
404	41386	19927
405	41488	19824
406	41579	19716
407	41693	19620
408	41800	19520
409	41903	19418
410	42012	19319
411	42095	19208
412	42204	19109
413	42324	19015
414	42424	18912
415	42504	18800
416	42605	18697
417	42705	18594
418	42785	18482
419	42867	18371
420	42952	18262
421	43052	18159
422	43157	18059
423	43267	17960
424	43364	17856
425	43453	17748
426	43545	17642
427	43641	17538
428	43721	17427
429	43802	17317
430	43900	17213
431	44005	17113
432	44096	17007
433	44208	16909
434	44302	16804
435	44362	16686
436	44457	16582
437	44538	16473
438	44624	16365
439	44729	16265
440	44810	16156
441	44913	16055
442	44999	15947
443	45090	15842
444	45169	15733
445	45288	15637
446	45414	15544
447	45509	15440
448	45631	15345
449	45721	15240
450	45821	15138
451	45895	15027
452	45981	14921
453	46060	14812
454	46179	14716
455	46280	14614
456	46398	14518
457	46506	14419
458	46609	14317
459	46722	14219
460	46831	14120
461	46931	14018
462	47033	13917
463	47141	13817
464	47252	13718
465	47343	13613
466	47433	13508
467	47555	13413
468	47647	13308
469	47755	13209
470	47839	13102
471	47950	13003
472	48054	12902
473	48131	12794
474	48197	12683
475	48277	12576
476	48389	12477
477	48459	12368
478	48580	12272
479	48673	12168
480	48794	12071
481	48890	11968
482	49006	11871
483	49110	11770
484	49209	11668
485	49308	11566
486	49407	11464
487	49515	11364
488	49597	11258
489	49714	11160
490	49809	11057
491	49899	10953
492	49999	10851
493	50101	10750
494	50229	10654
495	50308	10548
496	50422	10449
497	50503	10344
498	50603	10242
499	50685	10137
500	50775	10033
501	50879	9932
502	50965	9828
503	51050	9723
504	51149	9622
505	51226	9516
506	51329	9415
507	51442	9316
508	51549	9216
509	51672	9118
510	51771	9016
511	51878	8916
512	51979	8815
513	52077	8713
514	52191	8614
515	52289	8512
516	52383	8409
517	52486	8308
518	52568	8204
519	52644	8099
520	52759	8000
521	52853	7897
522	52954	7796
523	53017	7689
524	53114	7587
525	53224	7487
526	53308	7384
527	53392	7280
528	53516	7182
529	53608	7080
530	53697	6977
531	53814	6878
532	53898	6775
533	53979	6671
534	54088	6571
535	54198	6471
536	54287	6368
537	54396	6268
538	54514	6169
539	54613	6068
540	54704	5965
541	54821	5866
542	54943	5767
543	55041	5666
544	55160	5566
545	55261	5465
546	55383	5366
547	55478	5264
548	55589	5164
549	55693	5063
550	55769	4959
551	55883	4859
552	55964	4756
553	56070	4655
554	56164	4553
555	56276	4453
556	56349	4350
557	56433	4247
558	56522	4145
559	56631	4045
560	56734	3944
561	56818	3841
562	56907	3739
563	57004	3638
564	57103	3537
565	57201	3436
566	57303	3335
567	57407	3234
568	57491	3132
569	57602	3031
570	57697	2930
571	57776	2828
572	57891	2727
573	57998	2627
574	58120	2526
575	58198	2424
576	58318	2324
577	58417	2223
578	58492	2121
579	58599	2020
580	58699	1919
581	58801	1818
582	58879	1716
583	59000	1616
584	59096	1515
585	59196	1414
586	59274	1312
587	59349	1211
588	59465	1110
589	59560	1009
590	59645	908
591	59738	807
592	59815	706
593	59900	605
594	59973	503
595	60057	403
596	60156	302
597	60260	201
598	60384	100
599	60475	0
