iter	Logloss
0	0.6106022742
1	0.5418662714
2	0.4832095112
3	0.4238780737
4	0.3799492116
5	0.3368181424
6	0.3080418856
7	0.2788118669
8	0.2619305005
9	0.2388408082
10	0.2185203525
11	0.2023194565
12	0.1894311965
13	0.1776238942
14	0.1668888953
15	0.1579684762
16	0.1506469338
17	0.1445673424
18	0.1400967832
19	0.1367933556
20	0.1331244835
21	0.1299474705
22	0.1275828156
23	0.1249118397
24	0.1232107687
25	0.121535476
26	0.1196769478
27	0.1189703472
28	0.1172257866
29	0.1160033555
30	0.1146205073
31	0.1134264441
32	0.1125959125
33	0.1117634403
34	0.1108261139
35	0.1099224457
36	0.1091548658
37	0.1085305376
38	0.1076907795
39	0.107330321
40	0.1066889355
41	0.1062195981
42	0.1057130776
43	0.1052810656
44	0.1049431629
45	0.1043305281
46	0.1040636698
47	0.1036878685
48	0.103458353
49	0.1032060787
50	0.1029809418
51	0.1026996923
52	0.1025926928
53	0.102503583
54	0.102333757
55	0.1021525261
56	0.1020503721
57	0.1016980667
58	0.1015294622
59	0.1013622117
60	0.1012265093
61	0.1010611063
62	0.1009665246
63	0.100768521
64	0.1007171351
65	0.1004830002
66	0.1003624878
67	0.1002902479
68	0.1001623145
69	0.1000867767
70	0.1000119711
71	0.09998281764
72	0.09991645346
73	0.09986421075
74	0.09981005146
75	0.09976532574
76	0.09964304649
77	0.09959982044
78	0.09952601901
79	0.09945156489
80	0.09935498441
81	0.09931593281
82	0.09930241697
83	0.09921750835
84	0.09915469932
85	0.09909306471
86	0.098988246
87	0.09892402248
88	0.09888229454
89	0.0988444831
90	0.09879243683
91	0.09872871087
92	0.09868468602
93	0.09867682842
94	0.09864267187
95	0.09855144009
96	0.09852318292
97	0.09842210509
98	0.09839604181
99	0.09837236967
100	0.09831092587
101	0.09830928739
102	0.09827165452
103	0.09821932386
104	0.09816507247
105	0.09813712491
106	0.09811825525
107	0.09804341743
108	0.09798975269
109	0.09797461413
110	0.09788775511
111	0.09786871074
112	0.0978418817
113	0.09783164453
114	0.09777558103
115	0.09768416717
116	0.09765128932
117	0.09763702843
118	0.09761021797
119	0.09760683262
120	0.09758208184
121	0.09751386217
122	0.09744770262
123	0.09740335436
124	0.09733383829
125	0.09729061516
126	0.09726519416
127	0.09726335871
128	0.09726019337
129	0.09725306738
130	0.09724843784
131	0.09718723011
132	0.09718224155
133	0.09717081966
134	0.09715532135
135	0.09715211219
136	0.09713759463
137	0.0971217105
138	0.09711875982
139	0.09708724188
140	0.09707230717
141	0.09706480138
142	0.09706358808
143	0.09701662144
144	0.09701559529
145	0.09695260842
146	0.09690850505
147	0.09686272932
148	0.09686026677
149	0.09683889423
150	0.09680235167
151	0.09676262861
152	0.09671982365
153	0.09669471206
154	0.09666973939
155	0.09663393191
156	0.09663008898
157	0.09657398844
158	0.0965532855
159	0.09651891384
160	0.09650320399
161	0.09646469253
162	0.09645756206
163	0.09644334514
164	0.09641601571
165	0.0963710696
166	0.09636823929
167	0.09634063163
168	0.09632921817
169	0.09629832063
170	0.09629378425
171	0.0962729386
172	0.09624033828
173	0.0962403376
174	0.09623407338
175	0.09619545811
176	0.09617983154
177	0.0961787909
178	0.09612553878
179	0.09610783754
180	0.0960849608
181	0.09607174359
182	0.09606379172
183	0.09603744015
184	0.09603743485
185	0.09602617253
186	0.09599530404
187	0.09597795627
188	0.09597551911
189	0.09593961978
190	0.09589931077
191	0.09587893139
192	0.09579694277
193	0.09579647348
194	0.09576628425
195	0.0957522189
196	0.0957473174
197	0.09574550174
198	0.09571764448
199	0.09569445806
200	0.09566613025
201	0.09565955359
202	0.09563683481
203	0.09563673849
204	0.09562998206
205	0.09560770713
206	0.09556208263
207	0.09549812541
208	0.09549561987
209	0.09546945865
210	0.09545969112
211	0.09544939399
212	0.09544582855
213	0.09543962377
214	0.09542223696
215	0.09540678457
216	0.09539317937
217	0.09537300517
218	0.09534911313
219	0.09534470192
220	0.09534107925
221	0.0953317131
222	0.09529691231
223	0.09526252816
224	0.09522338804
225	0.0952136186
226	0.09520603926
